"Front Porch", "Penny Front Porch Light", "Heyu", "StdLM A1", "Alexa, turn on Front PorchnAlexa, turn off Front PorchnAlexa, turn Front Porch to 50nAlexa, dim/brighten Front PorchnAlexa, dim/brighten Front Porch 20"
"Garden Path", "Penny Garden Path Outlet", "Heyu", "StdAM A2", "Alexa, turn on Garden PathnAlexa, turn off Garden Path"
"Side Door", "Penny Side Door Light", "Heyu", "StdLM A3", "Alexa, turn on Side DoornAlexa, turn off Side DoornAlexa, turn Side Door to 50nAlexa, dim/brighten Side DoornAlexa, dim/brighten Side Door 20"
"Rear Door", "Penny Rear Door Light", "Heyu", "SL2LM A4", "Alexa, turn on Rear DoornAlexa, turn off Rear DoornAlexa, turn Rear Door to 50nAlexa, dim/brighten Rear DoornAlexa, dim/brighten Rear Door 20"
"Family room Pot lights", "Penny Family room Pot lights Light", "Heyu", "SL2LM A5", "Alexa, turn on Family room Pot lightsnAlexa, turn off Family room Pot lightsnAlexa, turn Family room Pot lights to 50nAlexa, dim/brighten Family room Pot lightsnAlexa, dim/brighten Family room Pot lights 20"
"Family room Lamp", "Penny Family room Lamp Light", "Heyu", "StdLM A6", "Alexa, turn on Family room LampnAlexa, turn off Family room LampnAlexa, turn Family room Lamp to 50nAlexa, dim/brighten Family room LampnAlexa, dim/brighten Family room Lamp 20"
"Family room outlet", "Penny Family room outlet Outlet", "Heyu", "StdAM A7", "Alexa, turn on Family room outletnAlexa, turn off Family room outlet"
"Front Door", "Penny Front Door Light", "Heyu", "SL2LM A8", "Alexa, turn on Front DoornAlexa, turn off Front DoornAlexa, turn Front Door to 50nAlexa, dim/brighten Front DoornAlexa, dim/brighten Front Door 20"
"Basement Stair", "Penny Basement Stair Light", "Heyu", "SL2LM A9", "Alexa, turn on Basement StairnAlexa, turn off Basement StairnAlexa, turn Basement Stair to 50nAlexa, dim/brighten Basement StairnAlexa, dim/brighten Basement Stair 20"
"Kitchen Counter", "Penny Kitchen Counter Light", "Heyu", "StdLM A11", "Alexa, turn on Kitchen CounternAlexa, turn off Kitchen CounternAlexa, turn Kitchen Counter to 50nAlexa, dim/brighten Kitchen CounternAlexa, dim/brighten Kitchen Counter 20"
"Living Room Lamp", "Penny Living Room Lamp Light", "Heyu", "StdLM A13", "Alexa, turn on Living Room LampnAlexa, turn off Living Room LampnAlexa, turn Living Room Lamp to 50nAlexa, dim/brighten Living Room LampnAlexa, dim/brighten Living Room Lamp 20"
"Staircase Lamp", "Penny Staircase Lamp Outlet", "Heyu", "StdAM A14", "Alexa, turn on Staircase LampnAlexa, turn off Staircase Lamp"
"Powder Room", "Penny Powder Room Light", "Heyu", "StdLM A15", "Alexa, turn on Powder RoomnAlexa, turn off Powder RoomnAlexa, turn Powder Room to 50nAlexa, dim/brighten Powder RoomnAlexa, dim/brighten Powder Room 20"
"Garage Outlet", "Penny Garage Outlet Outlet", "Heyu", "StdAM A16", "Alexa, turn on Garage OutletnAlexa, turn off Garage Outlet"
"Stereo", "Penny Stereo Outlet", "Heyu", "StdAM B9", "Alexa, turn on StereonAlexa, turn off Stereo"
"All Devices", "Penny All Devices Switch", "Heyu", "Macro-allon A", "Alexa, turn on All DevicesnAlexa, turn off All Devices"
"All Lights", "Penny All Lights Switch", "Heyu", "Macro-lightson A", "Alexa, turn on All LightsnAlexa, turn off All Lights"
"Basement", "Penny Basement Temperature Sensor", "NorthernMan54", "dht22", "Alexa, what is the temperature in the Basement"
"MCUIOT Reset Switch", "Penny MCUIOT Reset Switch Switch", "MCUIOT", "MCUIOT Reset Switch", "Alexa, turn on MCUIOT Reset SwitchnAlexa, turn off MCUIOT Reset Switch"
"Cold Cellar", "Penny Cold Cellar Temperature Sensor", "MCUIOT", "BME", "Alexa, what is the temperature in the Cold Cellar"
"Front Porch", "Penny Front Porch Temperature Sensor", "MCUIOT", "BME", "Alexa, what is the temperature in the Front Porch"
"Inside", "Penny Inside Temperature Sensor", "MCUIOT", "BME-GD", "Alexa, what is the temperature in the Inside"
"Family Room", "Howard Family Room Temperature Sensor", "Bosch", "RPI-BME280", "Alexa, what is the temperature in the Family Room"
"Fireplace", "Howard Fireplace Fan", "NorthernMan54", "Default-Model", "Alexa, turn on FireplacenAlexa, turn off FireplacenAlexa, turn Fireplace to 50nAlexa, dim/brighten FireplacenAlexa, dim/brighten Fireplace 20"
"Master Ceiling fan", "Howard Master Ceiling fan Fan", "NorthernMan54", "Default-Model", "Alexa, turn on Master Ceiling fannAlexa, turn off Master Ceiling fannAlexa, turn Master Ceiling fan to 50nAlexa, dim/brighten Master Ceiling fannAlexa, dim/brighten Master Ceiling fan 20"
"Master Ceiling", "Howard Master Ceiling Light", "NorthernMan54", "Default-Model", "Alexa, turn on Master CeilingnAlexa, turn off Master Ceiling"
"TV", "Howard TV Switch", "NorthernMan54", "Default-Model", "Alexa, turn on TVnAlexa, turn off TVnAlexa, turn TV to 50nAlexa, dim/brighten TVnAlexa, dim/brighten TV 20"
"Outlet Two", "Howard Outlet Two Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Outlet TwonAlexa, turn off Outlet Two"
"Fan", "Howard Fan Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on FannAlexa, turn off Fan"
"Office", "Howard Office Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on OfficenAlexa, turn off Office"
"Outlet One", "Howard Outlet One Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Outlet OnenAlexa, turn off Outlet One"
"Test", "Howard Test Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on TestnAlexa, turn off Test"
"Amazon", "Howard Amazon Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on AmazonnAlexa, turn off Amazon"
"Master Right", "Howard-Hue Master Right Light", "Philips", "/lights/1", "Alexa, turn on Master RightnAlexa, turn off Master RightnAlexa, turn Master Right to 50nAlexa, dim/brighten Master RightnAlexa, dim/brighten Master Right 20"
"Master Left", "Howard-Hue Master Left Light", "Philips", "/lights/2", "Alexa, turn on Master LeftnAlexa, turn off Master LeftnAlexa, turn Master Left to 50nAlexa, dim/brighten Master LeftnAlexa, dim/brighten Master Left 20"
"Group 0", "Howard-Hue Group 0 Light", "Default-Manufacturer", "/groups/0", "Alexa, turn on Group 0nAlexa, turn off Group 0nAlexa, turn Group 0 to 50nAlexa, dim/brighten Group 0nAlexa, dim/brighten Group 0 20"
