"Front Porch", "Penny Front Porch Light", "Heyu", "StdLM A1", "Alexa, turn on Front Porch;Alexa, turn off Front Porch;Alexa, turn Front Porch to 50;Alexa, dim/brighten Front Porch;Alexa, dim/brighten Front Porch 20"
"Garden Path", "Penny Garden Path Outlet", "Heyu", "StdAM A2", "Alexa, turn on Garden Path;Alexa, turn off Garden Path"
"Side Door", "Penny Side Door Light", "Heyu", "StdLM A3", "Alexa, turn on Side Door;Alexa, turn off Side Door;Alexa, turn Side Door to 50;Alexa, dim/brighten Side Door;Alexa, dim/brighten Side Door 20"
"Rear Door", "Penny Rear Door Light", "Heyu", "SL2LM A4", "Alexa, turn on Rear Door;Alexa, turn off Rear Door;Alexa, turn Rear Door to 50;Alexa, dim/brighten Rear Door;Alexa, dim/brighten Rear Door 20"
"Family room Pot lights", "Penny Family room Pot lights Light", "Heyu", "SL2LM A5", "Alexa, turn on Family room Pot lights;Alexa, turn off Family room Pot lights;Alexa, turn Family room Pot lights to 50;Alexa, dim/brighten Family room Pot lights;Alexa, dim/brighten Family room Pot lights 20"
"Family room Lamp", "Penny Family room Lamp Light", "Heyu", "StdLM A6", "Alexa, turn on Family room Lamp;Alexa, turn off Family room Lamp;Alexa, turn Family room Lamp to 50;Alexa, dim/brighten Family room Lamp;Alexa, dim/brighten Family room Lamp 20"
"Family room outlet", "Penny Family room outlet Outlet", "Heyu", "StdAM A7", "Alexa, turn on Family room outlet;Alexa, turn off Family room outlet"
"Front Door", "Penny Front Door Light", "Heyu", "SL2LM A8", "Alexa, turn on Front Door;Alexa, turn off Front Door;Alexa, turn Front Door to 50;Alexa, dim/brighten Front Door;Alexa, dim/brighten Front Door 20"
"Basement Stair", "Penny Basement Stair Light", "Heyu", "SL2LM A9", "Alexa, turn on Basement Stair;Alexa, turn off Basement Stair;Alexa, turn Basement Stair to 50;Alexa, dim/brighten Basement Stair;Alexa, dim/brighten Basement Stair 20"
"Kitchen Counter", "Penny Kitchen Counter Light", "Heyu", "StdLM A11", "Alexa, turn on Kitchen Counter;Alexa, turn off Kitchen Counter;Alexa, turn Kitchen Counter to 50;Alexa, dim/brighten Kitchen Counter;Alexa, dim/brighten Kitchen Counter 20"
"Living Room Lamp", "Penny Living Room Lamp Light", "Heyu", "StdLM A13", "Alexa, turn on Living Room Lamp;Alexa, turn off Living Room Lamp;Alexa, turn Living Room Lamp to 50;Alexa, dim/brighten Living Room Lamp;Alexa, dim/brighten Living Room Lamp 20"
"Staircase Lamp", "Penny Staircase Lamp Outlet", "Heyu", "StdAM A14", "Alexa, turn on Staircase Lamp;Alexa, turn off Staircase Lamp"
"Powder Room", "Penny Powder Room Light", "Heyu", "StdLM A15", "Alexa, turn on Powder Room;Alexa, turn off Powder Room;Alexa, turn Powder Room to 50;Alexa, dim/brighten Powder Room;Alexa, dim/brighten Powder Room 20"
"Garage Outlet", "Penny Garage Outlet Outlet", "Heyu", "StdAM A16", "Alexa, turn on Garage Outlet;Alexa, turn off Garage Outlet"
"Stereo", "Penny Stereo Outlet", "Heyu", "StdAM B9", "Alexa, turn on Stereo;Alexa, turn off Stereo"
"All Devices", "Penny All Devices Switch", "Heyu", "Macro-allon A", "Alexa, turn on All Devices;Alexa, turn off All Devices"
"All Lights", "Penny All Lights Switch", "Heyu", "Macro-lightson A", "Alexa, turn on All Lights;Alexa, turn off All Lights"
"Basement", "Penny Basement Temperature Sensor", "NorthernMan54", "dht22", "Alexa, what is the temperature in the Basement"
"MCUIOT Reset Switch", "Penny MCUIOT Reset Switch Switch", "MCUIOT", "MCUIOT Reset Switch", "Alexa, turn on MCUIOT Reset Switch;Alexa, turn off MCUIOT Reset Switch"
"Cold Cellar", "Penny Cold Cellar Temperature Sensor", "MCUIOT", "BME", "Alexa, what is the temperature in the Cold Cellar"
"Front Porch", "Penny Front Porch Temperature Sensor", "MCUIOT", "BME", "Alexa, what is the temperature in the Front Porch"
"Inside", "Penny Inside Temperature Sensor", "MCUIOT", "BME-GD", "Alexa, what is the temperature in the Inside"
"Family Room", "Howard Family Room Temperature Sensor", "Bosch", "RPI-BME280", "Alexa, what is the temperature in the Family Room"
"Fireplace", "Howard Fireplace Fan", "NorthernMan54", "Default-Model", "Alexa, turn on Fireplace;Alexa, turn off Fireplace;Alexa, turn Fireplace to 50;Alexa, dim/brighten Fireplace;Alexa, dim/brighten Fireplace 20"
"Master Ceiling fan", "Howard Master Ceiling fan Fan", "NorthernMan54", "Default-Model", "Alexa, turn on Master Ceiling fan;Alexa, turn off Master Ceiling fan;Alexa, turn Master Ceiling fan to 50;Alexa, dim/brighten Master Ceiling fan;Alexa, dim/brighten Master Ceiling fan 20"
"Master Ceiling", "Howard Master Ceiling Light", "NorthernMan54", "Default-Model", "Alexa, turn on Master Ceiling;Alexa, turn off Master Ceiling"
"TV", "Howard TV Switch", "NorthernMan54", "Default-Model", "Alexa, turn on TV;Alexa, turn off TV;Alexa, turn TV to 50;Alexa, dim/brighten TV;Alexa, dim/brighten TV 20"
"Outlet Two", "Howard Outlet Two Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Outlet Two;Alexa, turn off Outlet Two"
"Fan", "Howard Fan Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Fan;Alexa, turn off Fan"
"Office", "Howard Office Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Office;Alexa, turn off Office"
"Outlet One", "Howard Outlet One Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Outlet One;Alexa, turn off Outlet One"
"Test", "Howard Test Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Test;Alexa, turn off Test"
"Amazon", "Howard Amazon Outlet", "ECO Plugs", "CT-065W", "Alexa, turn on Amazon;Alexa, turn off Amazon"
"Master Right", "Howard-Hue Master Right Light", "Philips", "/lights/1", "Alexa, turn on Master Right;Alexa, turn off Master Right;Alexa, turn Master Right to 50;Alexa, dim/brighten Master Right;Alexa, dim/brighten Master Right 20"
"Master Left", "Howard-Hue Master Left Light", "Philips", "/lights/2", "Alexa, turn on Master Left;Alexa, turn off Master Left;Alexa, turn Master Left to 50;Alexa, dim/brighten Master Left;Alexa, dim/brighten Master Left 20"
"Group 0", "Howard-Hue Group 0 Light", "Default-Manufacturer", "/groups/0", "Alexa, turn on Group 0;Alexa, turn off Group 0;Alexa, turn Group 0 to 50;Alexa, dim/brighten Group 0;Alexa, dim/brighten Group 0 20"
